n_h,scaling_factor,learning_rate,num_iterations,cost,accuracy
2,0.03,0.9,3000,1.621334,30.312
2,0.03,0.9,5000,1.622851,39.375
2,0.03,0.9,7000,1.609685,48.438
2,0.03,0.9,10000,1.618649,41.25
2,0.03,0.9,15000,1.62025,30.938
2,0.03,0.9,20000,1.619843,30.312
2,0.03,0.9,30000,1.615,51.875
2,0.03,0.9,50000,1.61842,30.312
2,0.03,1.1,500,1.628289,31.562
2,0.03,1.1,1000,1.624696,31.562
2,0.03,1.1,2000,1.624009,42.5
2,0.03,1.1,3000,1.621257,30.312
2,0.03,1.1,5000,1.623708,52.812
2,0.03,1.1,7000,1.620449,30.625
2,0.03,1.1,10000,1.619541,44.062
2,0.03,1.1,15000,1.608548,48.438
2,0.03,1.1,20000,1.615924,44.688
2,0.03,1.1,30000,1.611433,34.375
2,0.03,1.1,50000,1.611917,42.812
2,0.03,1.3,500,1.62665,44.688
2,0.03,1.3,1000,1.614504,49.062
2,0.03,1.3,2000,1.625292,44.062
2,0.03,1.3,3000,1.618407,35
2,0.03,1.3,5000,1.621135,30.625
2,0.03,1.3,7000,1.620889,30.312
2,0.03,1.3,10000,1.618556,44.062
2,0.03,1.3,15000,1.625083,44.688
2,0.03,1.3,20000,1.615095,41.25
2,0.03,1.3,30000,1.61378,42.812
2,0.03,1.3,50000,1.613756,43.438
2,0.03,1.5,500,1.62575,44.375
2,0.03,1.5,1000,1.624886,45
2,0.03,1.5,2000,1.624475,38.75
2,0.03,1.5,3000,1.624016,37.812
2,0.03,1.5,5000,1.621537,41.562
2,0.03,1.5,7000,1.619017,41.875
2,0.03,1.5,10000,1.617608,41.562
2,0.03,1.5,15000,1.620816,30.938
2,0.03,1.5,20000,1.615952,44.688
2,0.03,1.5,30000,1.619776,31.25
2,0.03,1.5,50000,1.619929,45.938
2,0.03,1.8,500,1.630768,48.125
2,0.03,1.8,1000,1.625809,45
2,0.03,1.8,2000,1.62497,38.75
2,0.03,1.8,3000,1.623732,40
2,0.03,1.8,5000,1.619654,40.938
2,0.03,1.8,7000,1.618454,40.938
2,0.03,1.8,10000,1.617217,41.875
2,0.03,1.8,15000,1.616164,40.938
2,0.03,1.8,20000,1.615409,40.625
2,0.03,1.8,30000,1.614468,40.312
2,0.03,1.8,50000,1.616834,51.562
2,0.1,0.03,500,1.822645,45.938
2,0.1,0.03,1000,1.727078,37.188
2,0.1,0.03,2000,1.678055,53.125
2,0.1,0.03,3000,1.647236,43.125
2,0.1,0.03,5000,1.634384,44.062
2,0.1,0.03,7000,1.641214,51.875
2,0.1,0.03,10000,1.637548,50.938
2,0.1,0.03,15000,1.628862,39.062
2,0.1,0.03,20000,1.626675,43.438
2,0.1,0.03,30000,1.615473,48.438
2,0.1,0.03,50000,1.624147,44.062
2,0.1,0.1,500,1.698984,39.688
2,0.1,0.1,1000,1.654537,51.875
